2014-12-26 20:41:19 INFO  ResourceX:58 - ============================[ VOBaseMasterPage.vb -> Global.resx ]===============================
2014-12-26 20:41:20 INFO  ResourceX:102 -  (53) Resource Added: FileName = [Global.es.resx] value = [default_labelAddContact] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (54) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuDatebook] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:106 -  (55) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:107 -  (55) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (56) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuCancellations] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (57) Resource Added: FileName = [Global.es.resx] value = [default_labelAddTask] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (58) Resource Added: FileName = [Global.es.resx] value = [default_po_labelImportIntouchContacts] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (59) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuInventoryOrders] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (60) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuAppointments] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (61) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuFavoriteReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (62) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuSalesTotals] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (63) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (64) Resource Added: FileName = [Global.es.resx] value = [default_labelAddIncome] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (65) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuInvoices] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (66) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuReadyToBill] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (67) Resource Added: FileName = [Global.es.resx] value = [global_mainMenuContacts] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (68) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuUserReports] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (69) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuGettingStarted] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (70) Resource Added: FileName = [Global.es.resx] value = [default_labelExportContactsCSV] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (71) Resource Added: FileName = [Global.es.resx] value = [global_mainSubSubMenuCollections] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (72) Resource Added: FileName = [Global.es.resx] value = [global_mainSubMenuHelpDesk] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:106 -  (73) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:107 -  (73) Resource Exist: FileName = [Global.es.resx] value = [global_mainSubSubMenuManual] defaultLanguageValue = []
2014-12-26 20:41:20 INFO  ResourceX:102 -  (74) Resource Added: FileName = [Global.es.resx] value = [default_labelMyReferrals] defaultLanguageValue = []
